Latitude, Longitude, Name, Icon, IconHeading, IconColor, LineColor
41.615062, 0.627543, 1, 196, line-180, yellow, aqua
41.615101, 0.627580, 2, 196, line-180, yellow, aqua
41.615397, 0.627847, 3, 196, line-180, yellow, aqua
41.615317, 0.628019, 4, 196, line-180, yellow, aqua
41.615195, 0.627908, 5, 196, line-180, yellow, aqua
41.614939, 0.627684, 6, 196, line-180, yellow, aqua
41.614871, 0.627818, 7, 196, line-180, yellow, aqua
41.614145, 0.629325, 8, 196, line-180, yellow, aqua
41.614109, 0.629382, 9, 196, line-180, yellow, aqua
41.614427, 0.629709, 10, 196, line-180, yellow, aqua
41.614582, 0.630155, 11, 196, line-180, yellow, aqua
41.614873, 0.631258, 12, 196, line-180, yellow, aqua
41.615291, 0.632932, 13, 196, line-180, yellow, aqua
41.615705, 0.633636, 14, 196, line-180, yellow, aqua
41.615469, 0.633819, 15, 196, line-180, yellow, aqua
41.615155, 0.634019, 16, 196, line-180, yellow, aqua
41.615178, 0.634117, 17, 196, line-180, yellow, aqua
41.615152, 0.634207, 18, 196, line-180, yellow, aqua
41.615103, 0.634255, 19, 196, line-180, yellow, aqua
41.615278, 0.635546, 20, 196, line-180, yellow, aqua
41.615333, 0.635958, 21, 196, line-180, yellow, aqua
41.615579, 0.637813, 22, 196, line-180, yellow, aqua
41.615620, 0.637939, 23, 196, line-180, yellow, aqua
41.615758, 0.639084, 24, 196, line-180, yellow, aqua
41.615684, 0.639884, 25, 196, line-180, yellow, aqua
41.615306, 0.641288, 26, 196, line-180, yellow, aqua
41.615148, 0.641760, 27, 196, line-180, yellow, aqua
41.615437, 0.642002, 28, 196, line-180, yellow, aqua
41.615286, 0.643029, 29, 196, line-180, yellow, aqua
41.614883, 0.644749, 30, 196, line-180, yellow, aqua
41.614313, 0.647226, 31, 196, line-180, yellow, aqua
41.614540, 0.647258, 32, 196, line-180, yellow, aqua
41.614727, 0.647031, 33, 196, line-180, yellow, aqua
41.616061, 0.647494, 34, 196, line-180, yellow, aqua
41.616065, 0.647582, 35, 196, line-180, yellow, aqua
41.616097, 0.647650, 36, 196, line-180, yellow, aqua
41.616112, 0.647697, 37, 196, line-180, yellow, aqua
41.616217, 0.647688, 38, 196, line-180, yellow, aqua
41.615804, 0.649847, 39, 196, line-180, yellow, aqua
41.615885, 0.649938, 40, 196, line-180, yellow, aqua
41.615910, 0.650046, 41, 196, line-180, yellow, aqua
41.616052, 0.650292, 42, 196, line-180, yellow, aqua
41.616773, 0.650865, 43, 196, line-180, yellow, aqua
41.616704, 0.650941, 44, 196, line-180, yellow, aqua
41.616387, 0.651366, 45, 196, line-180, yellow, aqua
41.616194, 0.651936, 46, 196, line-180, yellow, aqua
41.615990, 0.652578, 47, 196, line-180, yellow, aqua
41.615911, 0.653155, 48, 196, line-180, yellow, aqua
41.615921, 0.653599, 49, 196, line-180, yellow, aqua
41.615980, 0.654334, 50, 196, line-180, yellow, aqua
41.616141, 0.655241, 51, 196, line-180, yellow, aqua
41.616502, 0.656281, 52, 196, line-180, yellow, aqua
41.617717, 0.659952, 53, 196, line-180, yellow, aqua
41.618782, 0.662800, 54, 196, line-180, yellow, aqua
41.619363, 0.664835, 55, 196, line-180, yellow, aqua
41.619560, 0.665768, 56, 196, line-180, yellow, aqua
41.620214, 0.669593, 57, 196, line-180, yellow, aqua
41.620841, 0.679529, 58, 196, line-180, yellow, aqua
41.621112, 0.682094, 59, 196, line-180, yellow, aqua
41.621711, 0.684914, 60, 196, line-180, yellow, aqua
41.624282, 0.693657, 61, 196, line-180, yellow, aqua
41.624911, 0.695946, 62, 196, line-180, yellow, aqua
41.625218, 0.697433, 63, 196, line-180, yellow, aqua
41.625446, 0.698851, 64, 196, line-180, yellow, aqua
41.625471, 0.699163, 65, 196, line-180, yellow, aqua
41.625816, 0.703399, 66, 196, line-180, yellow, aqua
41.627132, 0.719083, 67, 196, line-180, yellow, aqua
41.627820, 0.727217, 68, 196, line-180, yellow, aqua
41.628586, 0.736521, 69, 196, line-180, yellow, aqua
41.628617, 0.736902, 70, 196, line-180, yellow, aqua
41.629366, 0.745943, 71, 196, line-180, yellow, aqua
41.629744, 0.750815, 72, 196, line-180, yellow, aqua
41.630129, 0.755454, 73, 196, line-180, yellow, aqua
41.630521, 0.760440, 74, 196, line-180, yellow, aqua
41.630928, 0.765136, 75, 196, line-180, yellow, aqua
41.631264, 0.769480, 76, 196, line-180, yellow, aqua
41.631814, 0.776081, 77, 196, line-180, yellow, aqua
41.631836, 0.779067, 78, 196, line-180, yellow, aqua
41.631422, 0.784464, 79, 196, line-180, yellow, aqua
41.631302, 0.786903, 80, 196, line-180, yellow, aqua
41.630130, 0.791949, 81, 196, line-180, yellow, aqua
41.629031, 0.795869, 82, 196, line-180, yellow, aqua
41.629581, 0.805951, 83, 196, line-180, yellow, aqua
41.631031, 0.817470, 84, 196, line-180, yellow, aqua
41.631265, 0.829959, 85, 196, line-180, yellow, aqua
41.630645, 0.846320, 86, 196, line-180, yellow, aqua
41.631381, 0.882894, 87, 196, line-180, yellow, aqua
41.631479, 0.885392, 88, 196, line-180, yellow, aqua
41.631842, 0.893938, 89, 196, line-180, yellow, aqua
41.631945, 0.895808, 90, 196, line-180, yellow, aqua
41.632038, 0.897795, 91, 196, line-180, yellow, aqua
41.633338, 0.908981, 92, 196, line-180, yellow, aqua
41.634339, 0.917974, 93, 196, line-180, yellow, aqua
41.634726, 0.920706, 94, 196, line-180, yellow, aqua
41.635015, 0.923645, 95, 196, line-180, yellow, aqua
41.635207, 0.926907, 96, 196, line-180, yellow, aqua
41.635421, 0.929525, 97, 196, line-180, yellow, aqua
41.635837, 0.931854, 98, 196, line-180, yellow, aqua
41.637876, 0.937416, 99, 196, line-180, yellow, aqua
41.638162, 0.943432, 100, 196, line-180, yellow, aqua
41.638086, 0.953571, 101, 196, line-180, yellow, aqua
41.637682, 0.965815, 102, 196, line-180, yellow, aqua
41.636913, 0.973172, 103, 196, line-180, yellow, aqua
41.635814, 0.980450, 104, 196, line-180, yellow, aqua
41.634767, 0.988260, 105, 196, line-180, yellow, aqua
41.633883, 0.994859, 106, 196, line-180, yellow, aqua
41.633659, 1.001869, 107, 196, line-180, yellow, aqua
41.633322, 1.004835, 108, 196, line-180, yellow, aqua
41.632919, 1.009042, 109, 196, line-180, yellow, aqua
41.632590, 1.013447, 110, 196, line-180, yellow, aqua
41.632705, 1.015646, 111, 196, line-180, yellow, aqua
41.632828, 1.017072, 112, 196, line-180, yellow, aqua
41.634432, 1.024477, 113, 196, line-180, yellow, aqua
41.635337, 1.028704, 114, 196, line-180, yellow, aqua
41.637415, 1.038333, 115, 196, line-180, yellow, aqua
41.643675, 1.067187, 116, 196, line-180, yellow, aqua
41.643852, 1.067997, 117, 196, line-180, yellow, aqua
41.643409, 1.067637, 118, 196, line-180, yellow, aqua
41.643087, 1.067230, 119, 196, line-180, yellow, aqua
41.642918, 1.067275, 120, 196, line-180, yellow, aqua
41.642801, 1.067358, 121, 196, line-180, yellow, aqua
41.642801, 1.067514, 122, 196, line-180, yellow, aqua
41.642779, 1.067855, 123, 196, line-180, yellow, aqua
41.642869, 1.068338, 124, 196, line-180, yellow, aqua
41.643168, 1.069331, 125, 196, line-180, yellow, aqua
41.644869, 1.076158, 126, 196, line-180, yellow, aqua
41.645790, 1.079911, 127, 196, line-180, yellow, aqua
41.646203, 1.081018, 128, 196, line-180, yellow, aqua
41.646916, 1.082933, 129, 196, line-180, yellow, aqua
41.647322, 1.084507, 130, 196, line-180, yellow, aqua
41.647486, 1.085246, 131, 196, line-180, yellow, aqua
41.647557, 1.085931, 132, 196, line-180, yellow, aqua
41.647801, 1.088419, 133, 196, line-180, yellow, aqua
41.648048, 1.090822, 134, 196, line-180, yellow, aqua
41.648169, 1.091450, 135, 196, line-180, yellow, aqua
41.648375, 1.092140, 136, 196, line-180, yellow, aqua
41.648473, 1.092203, 137, 196, line-180, yellow, aqua
41.648642, 1.092615, 138, 196, line-180, yellow, aqua
41.648761, 1.092938, 139, 196, line-180, yellow, aqua
41.648832, 1.093312, 140, 196, line-180, yellow, aqua
41.648789, 1.093698, 141, 196, line-180, yellow, aqua
41.648604, 1.094111, 142, 196, line-180, yellow, aqua
41.648240, 1.094584, 143, 196, line-180, yellow, aqua
41.647926, 1.094982, 144, 196, line-180, yellow, aqua
41.647599, 1.095627, 145, 196, line-180, yellow, aqua
41.647515, 1.096058, 146, 196, line-180, yellow, aqua
41.647498, 1.096709, 147, 196, line-180, yellow, aqua
41.647428, 1.098164, 148, 196, line-180, yellow, aqua
41.647393, 1.099759, 149, 196, line-180, yellow, aqua
41.647352, 1.101587, 150, 196, line-180, yellow, aqua
41.647354, 1.101826, 151, 196, line-180, yellow, aqua
41.647363, 1.102731, 152, 196, line-180, yellow, aqua
41.647349, 1.103521, 153, 196, line-180, yellow, aqua
41.647340, 1.103817, 154, 196, line-180, yellow, aqua
41.647384, 1.105090, 155, 196, line-180, yellow, aqua
41.647313, 1.108913, 156, 196, line-180, yellow, aqua
41.647307, 1.111311, 157, 196, line-180, yellow, aqua
41.647047, 1.115921, 158, 196, line-180, yellow, aqua
41.647114, 1.117351, 159, 196, line-180, yellow, aqua
41.647342, 1.118856, 160, 196, line-180, yellow, aqua
41.647378, 1.125739, 161, 196, line-180, yellow, aqua
41.647381, 1.127053, 162, 196, line-180, yellow, aqua
41.647382, 1.127617, 163, 196, line-180, yellow, aqua
41.647383, 1.128213, 164, 196, line-180, yellow, aqua
41.647384, 1.128962, 165, 196, line-180, yellow, aqua
41.647526, 1.129242, 166, 196, line-180, yellow, aqua
41.647614, 1.129321, 167, 196, line-180, yellow, aqua
41.647695, 1.129490, 168, 196, line-180, yellow, aqua
41.647706, 1.129705, 169, 196, line-180, yellow, aqua
41.647615, 1.129930, 170, 196, line-180, yellow, aqua
41.647514, 1.130017, 171, 196, line-180, yellow, aqua
41.647414, 1.130341, 172, 196, line-180, yellow, aqua
41.647429, 1.130900, 173, 196, line-180, yellow, aqua
41.647455, 1.132245, 174, 196, line-180, yellow, aqua
41.647457, 1.132353, 175, 196, line-180, yellow, aqua
41.647487, 1.133451, 176, 196, line-180, yellow, aqua
41.647526, 1.134890, 177, 196, line-180, yellow, aqua
41.647539, 1.135518, 178, 196, line-180, yellow, aqua
41.647800, 1.137009, 179, 196, line-180, yellow, aqua
41.647892, 1.137449, 180, 196, line-180, yellow, aqua
41.647943, 1.137747, 181, 196, line-180, yellow, aqua
41.647959, 1.137809, 182, 196, line-180, yellow, aqua
41.648000, 1.137963, 183, 196, line-180, yellow, aqua
41.648156, 1.138639, 184, 196, line-180, yellow, aqua
41.648293, 1.139228, 185, 196, line-180, yellow, aqua
41.648328, 1.139388, 186, 196, line-180, yellow, aqua
41.648497, 1.140145, 187, 196, line-180, yellow, aqua
41.648514, 1.140214, 188, 196, line-180, yellow, aqua
41.648613, 1.140611, 189, 196, line-180, yellow, aqua
41.649013, 1.141568, 190, 196, line-180, yellow, aqua
41.649465, 1.141944, 191, 196, line-180, yellow, aqua
41.649940, 1.142320, 192, 196, line-180, yellow, aqua
41.650132, 1.142580, 193, 196, line-180, yellow, aqua
41.650622, 1.143241, 194, 196, line-180, yellow, aqua
41.650705, 1.143354, 195, 196, line-180, yellow, aqua
41.651132, 1.144108, 196, 196, line-180, yellow, aqua
41.651283, 1.144375, 197, 196, line-180, yellow, aqua
41.651414, 1.144806, 198, 196, line-180, yellow, aqua
41.651619, 1.145479, 199, 196, line-180, yellow, aqua
41.651842, 1.146202, 200, 196, line-180, yellow, aqua
41.652141, 1.147176, 201, 196, line-180, yellow, aqua
41.652388, 1.147525, 202, 196, line-180, yellow, aqua
41.652425, 1.147560, 203, 196, line-180, yellow, aqua
41.652489, 1.147604, 204, 196, line-180, yellow, aqua
41.652595, 1.147768, 205, 196, line-180, yellow, aqua
41.652636, 1.147962, 206, 196, line-180, yellow, aqua
41.652615, 1.148140, 207, 196, line-180, yellow, aqua
41.652596, 1.148272, 208, 196, line-180, yellow, aqua
41.652595, 1.148657, 209, 196, line-180, yellow, aqua
41.652986, 1.150025, 210, 196, line-180, yellow, aqua
41.653042, 1.150222, 211, 196, line-180, yellow, aqua
41.653583, 1.152119, 212, 196, line-180, yellow, aqua
41.654415, 1.155546, 213, 196, line-180, yellow, aqua
41.654769, 1.156750, 214, 196, line-180, yellow, aqua
41.655104, 1.157821, 215, 196, line-180, yellow, aqua
41.655329, 1.158603, 216, 196, line-180, yellow, aqua
41.655399, 1.158843, 217, 196, line-180, yellow, aqua
41.655350, 1.159044, 218, 196, line-180, yellow, aqua
41.655387, 1.159178, 219, 196, line-180, yellow, aqua
41.655806, 1.160674, 220, 196, line-180, yellow, aqua
41.656113, 1.162462, 221, 196, line-180, yellow, aqua
41.656186, 1.162892, 222, 196, line-180, yellow, aqua
41.656525, 1.164865, 223, 196, line-180, yellow, aqua
41.657211, 1.169096, 224, 196, line-180, yellow, aqua
41.657278, 1.169504, 225, 196, line-180, yellow, aqua
41.658051, 1.174030, 226, 196, line-180, yellow, aqua
41.658082, 1.174208, 227, 196, line-180, yellow, aqua
41.658091, 1.174367, 228, 196, line-180, yellow, aqua
41.658354, 1.179355, 229, 196, line-180, yellow, aqua
41.659049, 1.183722, 230, 196, line-180, yellow, aqua
41.660119, 1.188339, 231, 196, line-180, yellow, aqua
41.661135, 1.193081, 232, 196, line-180, yellow, aqua
41.661973, 1.197716, 233, 196, line-180, yellow, aqua
41.662526, 1.202155, 234, 196, line-180, yellow, aqua
41.663738, 1.206345, 235, 196, line-180, yellow, aqua
41.667072, 1.216007, 236, 196, line-180, yellow, aqua
41.667003, 1.221654, 237, 196, line-180, yellow, aqua
41.667089, 1.222211, 238, 196, line-180, yellow, aqua
41.667214, 1.222942, 239, 196, line-180, yellow, aqua
41.667803, 1.224118, 240, 196, line-180, yellow, aqua
41.668141, 1.224956, 241, 196, line-180, yellow, aqua
41.668355, 1.225936, 242, 196, line-180, yellow, aqua
41.668444, 1.227808, 243, 196, line-180, yellow, aqua
41.668426, 1.229110, 244, 196, line-180, yellow, aqua
41.668213, 1.230803, 245, 196, line-180, yellow, aqua
41.668088, 1.233263, 246, 196, line-180, yellow, aqua
41.668123, 1.235385, 247, 196, line-180, yellow, aqua
41.668319, 1.237096, 248, 196, line-180, yellow, aqua
41.668765, 1.239057, 249, 196, line-180, yellow, aqua
41.669050, 1.240162, 250, 196, line-180, yellow, aqua
41.669229, 1.241303, 251, 196, line-180, yellow, aqua
41.669246, 1.242943, 252, 196, line-180, yellow, aqua
41.668997, 1.246491, 253, 196, line-180, yellow, aqua
41.669097, 1.248448, 254, 196, line-180, yellow, aqua
41.669211, 1.249593, 255, 196, line-180, yellow, aqua
41.670095, 1.252485, 256, 196, line-180, yellow, aqua
41.670530, 1.253907, 257, 196, line-180, yellow, aqua
41.670775, 1.254810, 258, 196, line-180, yellow, aqua
41.670949, 1.256190, 259, 196, line-180, yellow, aqua
41.671375, 1.259043, 260, 196, line-180, yellow, aqua
41.671435, 1.259615, 261, 196, line-180, yellow, aqua
41.671377, 1.259915, 262, 196, line-180, yellow, aqua
41.671179, 1.260764, 263, 196, line-180, yellow, aqua
41.671032, 1.261424, 264, 196, line-180, yellow, aqua
41.670991, 1.261610, 265, 196, line-180, yellow, aqua
41.670920, 1.261937, 266, 196, line-180, yellow, aqua
41.670943, 1.262393, 267, 196, line-180, yellow, aqua
41.670950, 1.263072, 268, 196, line-180, yellow, aqua
41.670959, 1.263106, 269, 196, line-180, yellow, aqua
41.670942, 1.263441, 270, 196, line-180, yellow, aqua
41.670936, 1.263583, 271, 196, line-180, yellow, aqua
41.670926, 1.263683, 272, 196, line-180, yellow, aqua
41.670908, 1.263763, 273, 196, line-180, yellow, aqua
41.670573, 1.264567, 274, 196, line-180, yellow, aqua
41.670519, 1.264790, 275, 196, line-180, yellow, aqua
41.670470, 1.264957, 276, 196, line-180, yellow, aqua
41.670407, 1.265201, 277, 196, line-180, yellow, aqua
41.670397, 1.265311, 278, 196, line-180, yellow, aqua
41.670383, 1.265678, 279, 196, line-180, yellow, aqua
41.670403, 1.265971, 280, 196, line-180, yellow, aqua
41.670551, 1.266881, 281, 196, line-180, yellow, aqua
41.670568, 1.267011, 282, 196, line-180, yellow, aqua
41.670590, 1.267151, 283, 196, line-180, yellow, aqua
41.670602, 1.267226, 284, 196, line-180, yellow, aqua
41.670738, 1.268071, 285, 196, line-180, yellow, aqua
41.670756, 1.268244, 286, 196, line-180, yellow, aqua
41.670894, 1.269025, 287, 196, line-180, yellow, aqua
41.670952, 1.269353, 288, 196, line-180, yellow, aqua
41.671000, 1.269789, 289, 196, line-180, yellow, aqua
41.671021, 1.269909, 290, 196, line-180, yellow, aqua
41.671071, 1.270203, 291, 196, line-180, yellow, aqua
41.671199, 1.270938, 292, 196, line-180, yellow, aqua
41.671224, 1.271033, 293, 196, line-180, yellow, aqua
41.671289, 1.271284, 294, 196, line-180, yellow, aqua
41.671365, 1.271692, 295, 196, line-180, yellow, aqua
41.671344, 1.271835, 296, 196, line-180, yellow, aqua
41.671333, 1.271912, 297, 196, line-180, yellow, aqua
41.671383, 1.272241, 298, 196, line-180, yellow, aqua
41.671399, 1.272351, 299, 196, line-180, yellow, aqua
41.671405, 1.272389, 300, 196, line-180, yellow, aqua
41.671471, 1.272633, 301, 196, line-180, yellow, aqua
41.671531, 1.272840, 302, 196, line-180, yellow, aqua
41.671597, 1.273057, 303, 196, line-180, yellow, aqua
41.671631, 1.273213, 304, 196, line-180, yellow, aqua
41.671640, 1.273255, 305, 196, line-180, yellow, aqua
41.671674, 1.273346, 306, 196, line-180, yellow, aqua
41.671786, 1.273448, 307, 196, line-180, yellow, aqua
41.672227, 1.273837, 308, 196, line-180, yellow, aqua
41.672357, 1.273985, 309, 196, line-180, yellow, aqua
41.672408, 1.274099, 310, 196, line-180, yellow, aqua
41.672977, 1.274085, 311, 196, line-180, yellow, aqua
41.673118, 1.274065, 312, 196, line-180, yellow, aqua
41.673140, 1.274058, 313, 196, line-180, yellow, aqua
41.673239, 1.274280, 314, 196, line-180, yellow, aqua
41.673283, 1.274395, 315, 196, line-180, yellow, aqua
41.673314, 1.274461, 316, 196, line-180, yellow, aqua
41.673371, 1.274530, 317, 196, line-180, yellow, aqua
41.673457, 1.274572, 318, 196, line-180, yellow, aqua
41.673491, 1.274652, 319, 196, line-180, yellow, aqua
41.673526, 1.274772, 320, 196, line-180, yellow, aqua
41.673590, 1.274903, 321, 196, line-180, yellow, aqua
41.673643, 1.274983, 322, 196, line-180, yellow, aqua
41.673710, 1.274993, 323, 196, line-180, yellow, aqua
41.673763, 1.275077, 324, 196, line-180, yellow, aqua
41.673815, 1.275176, 325, 196, line-180, yellow, aqua
41.673871, 1.275263, 326, 196, line-180, yellow, aqua
41.673893, 1.275309, 327, 196, line-180, yellow, aqua
41.673937, 1.275392, 328, 196, line-180, yellow, aqua
41.673974, 1.275462, 329, 196, line-180, yellow, aqua
41.673996, 1.275528, 330, 196, line-180, yellow, aqua
41.674008, 1.275599, 331, 196, line-180, yellow, aqua
41.674014, 1.275661, 332, 196, line-180, yellow, aqua
41.674008, 1.275734, 333, 196, line-180, yellow, aqua
41.674128, 1.275970, 334, 196, line-180, yellow, aqua
41.674172, 1.276147, 335, 196, line-180, yellow, aqua
41.674258, 1.276426, 336, 196, line-180, yellow, aqua
41.674302, 1.276699, 337, 196, line-180, yellow, aqua
41.674391, 1.277185, 338, 196, line-180, yellow, aqua
41.674507, 1.277823, 339, 196, line-180, yellow, aqua
41.674612, 1.278437, 340, 196, line-180, yellow, aqua
41.674661, 1.278721, 341, 196, line-180, yellow, aqua
41.674984, 1.278599, 342, 196, line-180, yellow, aqua
41.675377, 1.279549, 343, 196, line-180, yellow, aqua
41.675662, 1.280283, 344, 196, line-180, yellow, aqua
41.675866, 1.280809, 345, 196, line-180, yellow, aqua
41.676003, 1.281273, 346, 196, line-180, yellow, aqua
41.676130, 1.281693, 347, 196, line-180, yellow, aqua
41.676240, 1.282131, 348, 196, line-180, yellow, aqua
41.676272, 1.282327, 349, 196, line-180, yellow, aqua
41.676274, 1.282339, 350, 196, line-180, yellow, aqua
41.676292, 1.282327, 351, 196, line-180, yellow, aqua
41.676475, 1.282215, 352, 196, line-180, yellow, aqua
41.677023, 1.281913, 353, 196, line-180, yellow, aqua
41.677206, 1.282420, 354, 196, line-180, yellow, aqua
41.677319, 1.282761, 355, 196, line-180, yellow, aqua
41.677405, 1.282898, 356, 196, line-180, yellow, aqua
41.677554, 1.282997, 357, 196, line-180, yellow, aqua
41.677697, 1.283017, 358, 196, line-180, yellow, aqua
41.677786, 1.282997, 359, 196, line-180, yellow, aqua
41.677920, 1.282925, 360, 196, line-180, yellow, aqua
41.677953, 1.282905, 361, 196, line-180, yellow, aqua
41.678107, 1.283386, 362, 196, line-180, yellow, aqua
41.678263, 1.283914, 363, 196, line-180, yellow, aqua
41.678290, 1.284092, 364, 196, line-180, yellow, aqua
41.678296, 1.284291, 365, 196, line-180, yellow, aqua
41.678300, 1.284462, 366, 196, line-180, yellow, aqua
41.678311, 1.284458, 367, 196, line-180, yellow, aqua
41.678355, 1.284463, 368, 196, line-180, yellow, aqua
41.678434, 1.284507, 369, 196, line-180, yellow, aqua
41.678489, 1.284585, 370, 196, line-180, yellow, aqua
41.678517, 1.284683, 371, 196, line-180, yellow, aqua
41.678517, 1.284722, 372, 196, line-180, yellow, aqua
41.678807, 1.284682, 373, 196, line-180, yellow, aqua
41.678925, 1.284674, 374, 196, line-180, yellow, aqua
41.679030, 1.284666, 375, 196, line-180, yellow, aqua
41.679256, 1.284646, 376, 196, line-180, yellow, aqua
41.679446, 1.284642, 377, 196, line-180, yellow, aqua
41.679503, 1.284641, 378, 196, line-180, yellow, aqua
41.679622, 1.284633, 379, 196, line-180, yellow, aqua
41.679738, 1.284620, 380, 196, line-180, yellow, aqua
41.679852, 1.284591, 381, 196, line-180, yellow, aqua
41.679960, 1.284546, 382, 196, line-180, yellow, aqua
41.680130, 1.284385, 383, 196, line-180, yellow, aqua
41.680034, 1.284625, 384, 196, line-180, yellow, aqua
41.679962, 1.284893, 385, 196, line-180, yellow, aqua
41.679944, 1.285054, 386, 196, line-180, yellow, aqua
41.679946, 1.285383, 387, 196, line-180, yellow, aqua
41.680001, 1.285586, 388, 196, line-180, yellow, aqua
41.680114, 1.285898, 389, 196, line-180, yellow, aqua
41.680329, 1.286157, 390, 196, line-180, yellow, aqua
41.680430, 1.286262, 391, 196, line-180, yellow, aqua
41.680627, 1.286340, 392, 196, line-180, yellow, aqua
41.680908, 1.286366, 393, 196, line-180, yellow, aqua
41.681201, 1.286265, 394, 196, line-180, yellow, aqua
41.681243, 1.286354, 395, 196, line-180, yellow, aqua
41.681306, 1.286483, 396, 196, line-180, yellow, aqua
41.681368, 1.286681, 397, 196, line-180, yellow, aqua
41.681424, 1.286976, 398, 196, line-180, yellow, aqua
41.681446, 1.287290, 399, 196, line-180, yellow, aqua
41.681418, 1.287660, 400, 196, line-180, yellow, aqua
41.681352, 1.287972, 401, 196, line-180, yellow, aqua
41.681266, 1.288240, 402, 196, line-180, yellow, aqua
41.681165, 1.288540, 403, 196, line-180, yellow, aqua
41.681049, 1.288894, 404, 196, line-180, yellow, aqua
41.680997, 1.289136, 405, 196, line-180, yellow, aqua
41.680963, 1.289444, 406, 196, line-180, yellow, aqua
41.680957, 1.289731, 407, 196, line-180, yellow, aqua
41.680983, 1.289997, 408, 196, line-180, yellow, aqua
41.681023, 1.290227, 409, 196, line-180, yellow, aqua
41.681081, 1.290444, 410, 196, line-180, yellow, aqua
41.681157, 1.290646, 411, 196, line-180, yellow, aqua
41.681372, 1.291091, 412, 196, line-180, yellow, aqua
41.681814, 1.291955, 413, 196, line-180, yellow, aqua
41.682155, 1.292609, 414, 196, line-180, yellow, aqua
41.682395, 1.293049, 415, 196, line-180, yellow, aqua
41.682538, 1.293253, 416, 196, line-180, yellow, aqua
41.682708, 1.293478, 417, 196, line-180, yellow, aqua
41.683221, 1.294071, 418, 196, line-180, yellow, aqua
41.683701, 1.294618, 419, 196, line-180, yellow, aqua
41.683866, 1.294822, 420, 196, line-180, yellow, aqua
41.683972, 1.294959, 421, 196, line-180, yellow, aqua
41.684066, 1.295120, 422, 196, line-180, yellow, aqua
41.684152, 1.295297, 423, 196, line-180, yellow, aqua
41.684222, 1.295527, 424, 196, line-180, yellow, aqua
41.684262, 1.295734, 425, 196, line-180, yellow, aqua
41.684286, 1.295951, 426, 196, line-180, yellow, aqua
41.684286, 1.296176, 427, 196, line-180, yellow, aqua
41.684280, 1.296375, 428, 196, line-180, yellow, aqua
41.684196, 1.297689, 429, 196, line-180, yellow, aqua
41.684176, 1.298140, 430, 196, line-180, yellow, aqua
41.684180, 1.298411, 431, 196, line-180, yellow, aqua
41.684206, 1.298700, 432, 196, line-180, yellow, aqua
41.684252, 1.298950, 433, 196, line-180, yellow, aqua
41.684338, 1.299269, 434, 196, line-180, yellow, aqua
41.684446, 1.299661, 435, 196, line-180, yellow, aqua
41.684537, 1.299940, 436, 196, line-180, yellow, aqua
41.685308, 1.302410, 437, 196, line-180, yellow, aqua
41.685498, 1.302919, 438, 196, line-180, yellow, aqua
41.685616, 1.303150, 439, 196, line-180, yellow, aqua
41.685825, 1.303464, 440, 196, line-180, yellow, aqua
41.686690, 1.304494, 441, 196, line-180, yellow, aqua
41.687016, 1.304891, 442, 196, line-180, yellow, aqua
41.687167, 1.305020, 443, 196, line-180, yellow, aqua
41.687427, 1.305229, 444, 196, line-180, yellow, aqua
41.687844, 1.305521, 445, 196, line-180, yellow, aqua
41.688046, 1.305714, 446, 196, line-180, yellow, aqua
41.688234, 1.305910, 447, 196, line-180, yellow, aqua
41.688439, 1.306157, 448, 196, line-180, yellow, aqua
41.688747, 1.306519, 449, 196, line-180, yellow, aqua
41.689312, 1.307179, 450, 196, line-180, yellow, aqua
41.690177, 1.308150, 451, 196, line-180, yellow, aqua
41.690918, 1.308949, 452, 196, line-180, yellow, aqua
41.691914, 1.309976, 453, 196, line-180, yellow, aqua
41.692609, 1.310695, 454, 196, line-180, yellow, aqua
41.692801, 1.310920, 455, 196, line-180, yellow, aqua
41.692957, 1.311162, 456, 196, line-180, yellow, aqua
41.693177, 1.311580, 457, 196, line-180, yellow, aqua
41.693823, 1.312959, 458, 196, line-180, yellow, aqua
41.693927, 1.313254, 459, 196, line-180, yellow, aqua
41.694031, 1.313603, 460, 196, line-180, yellow, aqua
41.694075, 1.313828, 461, 196, line-180, yellow, aqua
41.694103, 1.314043, 462, 196, line-180, yellow, aqua
41.694131, 1.314300, 463, 196, line-180, yellow, aqua
41.694131, 1.314601, 464, 196, line-180, yellow, aqua
41.694180, 1.317400, 465, 196, line-180, yellow, aqua
41.694211, 1.319203, 466, 196, line-180, yellow, aqua
41.694213, 1.319516, 467, 196, line-180, yellow, aqua
41.694161, 1.319525, 468, 196, line-180, yellow, aqua
41.694098, 1.319561, 469, 196, line-180, yellow, aqua
41.694039, 1.319631, 470, 196, line-180, yellow, aqua
41.694012, 1.319689, 471, 196, line-180, yellow, aqua
41.693992, 1.319790, 472, 196, line-180, yellow, aqua
41.693996, 1.319883, 473, 196, line-180, yellow, aqua
41.694036, 1.320000, 474, 196, line-180, yellow, aqua
41.694099, 1.320076, 475, 196, line-180, yellow, aqua
41.694172, 1.320114, 476, 196, line-180, yellow, aqua
